#,BAL,BOS,NYY,TOR,TB,DET,MIN,CWS,CLE,KC,LAA,ATH,HOU,SEA,TEX,WSH,ATL,NYM,PHI,MIA,CHC,MIL,STL,PIT,CIN,SF,LAD,SD,COL,ARI
117,-3,15,3,27,-13,17,1,-27,3,-21,-1,-45,17,9,7,-39,-19,-1,15,-1,21,21,-1,-5,17,5,23,27,-57,5
120,-2,14,6,30,-12,18,0,-24,4,-22,-2,-46,18,10,4,-42,-20,0,14,-2,22,22,-4,-4,14,8,26,26,-60,4
123,-3,13,5,33,-13,19,-1,-21,3,-23,-1,-45,19,11,5,-43,-23,1,15,-1,23,21,-1,-3,13,9,25,25,-63,1
126,-4,14,6,32,-12,18,-4,-22,2,-24,2,-44,18,12,6,-46,-20,0,16,-4,24,22,-4,-4,14,8,28,24,-62,4
129,-3,17,7,31,-13,15,-5,-23,5,-25,3,-41,19,15,7,-49,-23,1,19,-5,23,23,-5,-3,11,9,29,21,-63,3
132,-2,18,10,32,-16,12,-8,-26,8,-28,4,-42,20,16,6,-50,-20,-2,18,-6,20,26,-6,0,12,12,32,24,-66,2
135,-3,17,11,31,-13,9,-9,-25,7,-27,5,-39,21,19,3,-49,-21,-1,19,-7,21,25,-5,1,9,11,31,23,-65,1
138,0,20,12,34,-14,10,-10,-24,6,-28,6,-38,22,20,2,-52,-24,-4,16,-10,20,26,-6,2,8,14,32,26,-66,0
141,1,21,11,33,-13,11,-9,-27,7,-31,5,-37,25,23,1,-53,-25,-7,17,-11,23,29,-5,5,5,13,29,25,-65,-1
144,2,22,10,32,-14,12,-10,-28,4,-28,6,-34,28,24,4,-56,-28,-8,20,-10,22,32,-8,4,8,14,26,26,-68,-4
147,3,25,13,33,-13,9,-7,-31,3,-27,5,-33,29,25,5,-57,-29,-5,19,-11,25,33,-9,1,7,13,25,23,-71,-3
150,2,28,10,34,-14,8,-6,-32,4,-26,8,-34,30,26,6,-58,-32,-4,18,-14,26,32,-6,0,8,12,26,24,-72,-4
153,5,29,13,33,-13,11,-9,-35,5,-27,5,-35,27,25,5,-61,-31,-3,21,-13,29,31,-5,-3,11,11,29,25,-73,-7
156,8,30,10,34,-14,10,-12,-38,8,-30,8,-36,24,28,6,-62,-32,0,24,-12,30,34,-8,-4,14,10,30,22,-76,-6
159,7,31,13,33,-15,11,-9,-41,7,-31,11,-35,25,31,5,-65,-31,-3,25,-9,27,37,-9,-7,15,9,27,23,-79,-3
162,8,32,12,32,-16,12,-8,-42,8,-32,8,-34,26,32,6,-66,-30,-4,24,-10,26,36,-8,-10,16,12,30,26,-82,-4
